,FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,REQUIREMENT_SET_ID,REQUIREMENT_SUBSET_ID,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,EXP_JOB_CLASS_FUNCTION,COURSE_COUNT,COURSE_LENGHT,COURSE_SUBJECT,DRIVERS_LICENSE_REQ,DRIV_LIC_TYPE,EXAM_TYPE,ENTRY_SALARY_GEN,ENTRY_SALARY_DWP,OPEN_DATE
0,SENIOR ELECTRICAL INSPECTOR 4223 042718.txt,SENIOR ELECTRICAL INSPECTOR,4223,1,,  A Senior Electrical Inspector supervises the work of employees engaged in the inspection of new and existing electrical installations and equipment to secure conformance to the City Electrical Code; personally inspects large and complicated electrical installations; may perform responsible staff functions; may supervise the inspection of the construction of electrical installations in public buildings to ensure conformance with contract plans and specifications; may witness fabrication and testing of electrical equipment at a manufacturing plant; may witness performance of operational testing equipment prior to start up; assists in training inspection employees; applies sound supervisory techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.,0,, ,2,full-time,Electrical Inspector,, ,   ,,P, ,OPEN_INT_PROM,99858,-1,2018-04-27
1,SUPERVISING WATER SERVICE REPRESENTATIVE 1697 081318.txt,SUPERVISING WATER SERVICE REPRESENTATIVE,1697,0,,"  A Supervising Water Service Representative manages, supervises subordinate employees, or provides staff support in the making of business arrangements to furnish water services or in conducting cross-connection inspections; interprets or supervises the interpretation of Water System Rules and Rates; supervises or handles arrangements for more complex installations or handles complex cross-connection investigations with the LA County Department of Public Health; and enforces Water Services Organization policies on the protection of the City's water supply.",0,, ,2,full-time,Water Service Representative Water System City,, ,   ,,R, ,OPEN_INT_PROM,86026,-1,2018-08-03
2,GARAGE ASSISTANT 3538 012017.txt,GARAGE ASSISTANT,3538,2,,"  A Garage Assistant performs general servicing and lubricating of cars, trucks and motorcycles; chauffeuring; parking cars; washing and waxing; replaces tires on cars and trucks in the shop and in the field; assists equipment mechanics by removing and replacing defective radiators, hoses, fan belts, and batteries; may operate a light to heavy duty tow truck; may make minor repairs to vehicles; may install or remove various interior and exterior vehicle equipment; and may perform other non-skilled tasks as required.",0,, ,0,,,, ,   ,,P, ,OPEN,45132,-1,2017-01-20
3,WATER BIOLOGIST 7856 120216.txt,WATER BIOLOGIST,7856,0,,"  A Water Biologist performs oceanographic, marine biological, estuarine, limnological, stormwater, freshwater, and wetland surveys; conducts analysis of marine, estuarine, and freshwater aquatic organisms; performs toxicological tests using marine and freshwater organisms; performs biological activated sludge analysis on wastewater; assesses the impact of wastewater and stormwater discharges; identifies marine and freshwater invertebrates, fish, algae and vegetation; collects physical, chemical and biological data in water reservoirs and tanks for maintaining water quality; researches and develops new water quality equipment and processes; conducts studies; analyzes and writes reports on biological and associated data; reviews and comments on pertinent documents; confers with governmental agencies on water quality matters; represent the City at meetings and conferences; and may act as lead worker or supervisor for employees engaged in performing such tasks.",4,"university, college", ,0,,,, ,   ,,P, ,OPEN_INT_PROM,74500,82006,2016-12-02
4,DIRECTOR OF AIRPORT OPERATIONS 9304 062317 (3).txt,DIRECTOR OF AIRPORT OPERATIONS,9304,3,,"  A Director of Airport Operations plans, coordinates and directs through subordinate managers, the Los Angeles International Airport ground operations, including the use of airport facilities, law enforcement and construction and maintenance; participates in planning and coordinating modifications to airport facilities to accommodate airport tenants and passengers; and applies sound supervisory principles and techniques in building and maintaining an effective work force.",0,, ,4,full-time,Water Service Representative Water System City,, ,   ,,R, ,OPEN_INT_PROM,171862,-1,2017-06-23
5,TAX AUDITOR 1514 062218.txt,TAX AUDITOR,1514,2,,"  A Tax Auditor conducts or reviews field or office audits of accounting and related records of persons, businesses, and organizations to determine the accuracy of self-assessed tax payments to the City of Los Angeles; and performs internal audits of operations related to business tax and permit enforcement, audit, and administration.",4,"university, college", ,0,,,,following,#Q 32 #S 24,,R, ,OPEN,73090,-1,2018-06-22
6,ASSISTANT UTILITY BUYER 1860 051818.txt,ASSISTANT UTILITY BUYER,1860,2,,  An Assistant Utility Buyer assists in purchasing or purchases a variety of commodities for use in the Department of Water and Power. ,4,"university, college", ,4,full-time,,|commodity purchasing for use rather than for resale and in preparing specifications| analyzing bids| conferring with vendors| and making recommendations for awards.| buyer in commodity purchasing for use rather than for resale and preparing specifications| and making recommendations for awards may be substituted on a year-for-year basis for the education lacking in Requirement No. 2 up to a maximum of two years (one year of education is equivalent to 30 semesters or 45 quarter units).,1,#Q 45 #S 30,,P, ,OPEN,79438,-1,2018-05-18
7,SYSTEMS ANALYST 1596 102717.txt,SYSTEMS ANALYST,1596,3,ABCAB,"  A Systems Analyst analyzes procedures, methods and operations of computer-based information systems; designs, implements, and recommends information systems to improve the efficiency and economy of City operations; performs cost benefit and feasibility analyses related to the modification of existing computer-based information systems, the maintenance and support of information systems, or the implementation of new computer-based systems; accesses and analyzes information from automated files using high-level retrieval languages.",0,"university, college"," Computer Science, Information Systems, or Geographical Information Systems",4,full-time,,|a class at the level of Management Assistant which provides experience in:, ,   ,,P, ,OPEN_INT_PROM,84459,79500,2017-10-27
8,GENERAL SERVICES MANAGER  9601 042117.txt,GENERAL SERVICES MANAGER ,9601,0,,"  A General Services Manager serves as a Director or Assistant Director in a division of the Los Angeles Department of Water and Power (LADWP), overseeing the activities of construction, engineering, technical, clerical, and administrative employees engaged in the design, construction, maintenance, repair, operation, and testing of LADWP's hard infrastructure (capital assets); applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills Equal Employment Opportunity responsibilities.",0,, ,2,full-time,Construction Maintenance Superintendent Shops Superintendent Fleet Services Manager,, ,   ,,R, ,OPEN_INT_PROM,224136,-1,2017-04-21
9,AQUATIC DIRECTOR 2419  082517 REV 0090717.txt,AQUATIC DIRECTOR ,2419,2,,"  An Aquatic Director plans, organizes, directs, and supervises the operation of a comprehensive aquatics program associated with public pools and open water facilities on a City-wide basis.  ",4,"university, college", ,2,full-time,,, ,   ,,R, ,OPEN_INT_PROM,-1,-1,2017-08-25
